MRB Medium (Mix MPYG and RBM at the ratio of 5:5),
Trypticase peptone,3.5 g
Peptone,1.5 g
Soya peptone,1.0 g
Polypeptone,0.50 g
Yeast extract ,5.25 g
Beef extract ,2.5 g
Glucose ,2.75 g
Tween 80 ,0.25 mL
Maltose,0.50 g
Cellobiose,0.50 g
Soluble starch,0.50 g
Glycerol,0.5 mL
K2HPO4,1.15 g
Na2CO3,2.0 g
Na2S·9H2O,0.125 g
L-cysteine HCl,0.375 g
0.1% Resazurin (see below),1 mL
Salt solution (see below),20 mL
Trace element (see below),5 mL
Vitamin solution (see below),5 mL
Hemin solution (see below),6 mL
Vitamin K1 solution (see below),0.1 mL
Mineral solution (see below),19 mL
Volatile fatty acid mix (see below),1.55 mL
ddH2O,950 mL
