Mega Medium,
Trypticase Peptone,10.0 g
Yeast Extract,5.0 g
D-(+)-Glucose,2.0 g
L-Cysteine HCl,0.50 g
"1 M Potassium phosphate buffer, pH 7.2 (see below)",100 mL
TYG salts solution (see below),40 mL
Vitamin K solution (see below),1 mL
CaCl2 (see below),1 mL
FeSO4·7H2O (see below),1 mL
0.1% Resazurin (see below),1 mL
Histidine-Hematin (see below),1 mL
D-(+)-Cellobiose,1.0 g
D-(+)-Maltose monohydrate,1.0 g
D-(-)-Fructose,1.0 g
Tween 80,0.5 mL
Meat extract,5.0 g
Trace Mineral Supplement (see below),10 mL
Vitamin Supplement (see below),10 mL
SCFA supplement (see below),2.8 mL
ddH2O,840 mL
