RM Medium (Mix MPYG and RL at the ratio of 3:7),
Trypticase peptone,8.5 g
Peptone,0.90 g
Soya peptone,0.60 g
Polypeptone,0.30 g
Yeast extract ,6.5 g
Beef extract ,1.5 g
Glucose ,2.2 g
Tween 80 ,0.15 mL
Maltose,0.15 g
Cellobiose,0.15 g
Soluble starch,0.15 g
Glycerol,0.15 mL
K2HPO4,0.60 g
L-cysteine HCl,0.15 g
0.1% Resazurin (see below),1 mL
Salt solution (see below),12 mL
Trace element (see below),3 mL
Vitamin solution (see below),3 mL
Hemin solution (see below),3 mL
Vitamin K1 solution (see below),0.06 mL
Solution A (see below),0.063 mL
Solution B (see below),131 mL
Solution C (see below),131 mL
Solution E (see below),39 mL
Rumen fluid (see below),70 mL
ddH2O,608 mL
